model,length,freight,trailer,boatEngineAndTrailerFees,engineRigging,enginePreRigPrice,nmma,engineFreight,msrp
cruise bench 20 s115hp,20,2752,10750,1728,0,0,0,0,68295
cruise bench 20 s150hp,20,2752,10750,1728,0,0,0,0,70215
cruise bench 22 s115hp,22,2752,10750,1728,0,0,0,0,70538
cruise bench 22 s150hp,22,2752,10750,1728,0,0,0,0,72458
cruise switchback 22 s115hp,22,2752,10750,1728,0,0,0,0,71819
cruise switchback 22 s150hp,22,2752,10750,1728,0,0,0,0,73739
cruise switchback 24 s115hp,24,2752,10750,1728,0,0,0,0,75975
cruise switchback 24 s150hp,24,2752,10750,1728,0,0,0,0,75975
explore bench 22,22,2752,10750,1728,899,4073,77,128,76580
explore bench 22 trifold bench,22,2752,10750,1728,899,4073,77,128,77540
explore bench 22 s115hp,22,2752,10750,1728,0,0,0,0,85126
explore bench 22 s115hp trifold bench,22,2752,10750,1728,0,0,0,0,86086
explore bench 22 s150hp,22,2752,10750,1728,0,0,0,0,87046
explore bench 22 s150hp trifold bench,22,2752,10750,1728,0,0,0,0,88006
explore navigator 22 trifold bench,22,2752,10750,1728,899,4073,77,128,80100
explore navigator 22 s115hp trifold bench,22,2752,10750,1728,0,0,0,0,88646
explore navigator 22 s150hp trifold bench,22,2752,10750,1728,0,0,0,0,90566
explore navigator 24 25x27x25 trifold bench,24,2752,10750,1728,899,4073,77,128,85603
explore navigator 24 dual motor trifold bench,24,2752,10750,1728,1798,12364,77,128,100836
explore navigator 24 trifold bench,24,2752,10750,1728,899,4073,77,128,82788
explore navigator 24 s115hp trifold bench,24,2752,10750,1728,0,0,0,0,91334
explore navigator 24 s150hp trifold bench,24,2752,10750,1728,0,0,0,0,93254
explore navigator 26 25x27x25 trifold bench,26,3776,10750,1728,899,4073,77,128,88291
explore navigator 26 dual motor trifold bench,26,3776,10750,1728,1798,12364,77,128,103523
explore navigator 26 s115hp trifold bench,26,3776,10750,1728,0,0,0,0,94022
explore navigator 26 s150hp trifold bench,26,3776,10750,1728,0,0,0,0,95942
explore switchback 22 trifold bench,22,2752,10750,1728,899,4073,77,128,78820
explore switchback 22 s115hp trifold bench,22,2752,10750,1728,0,0,0,0,87366
explore switchback 22 s150hp trifold bench,22,2752,10750,1728,0,0,0,0,89286
explore switchback 24 25x27x25 trifold bench,24,2752,10750,1728,899,4073,77,128,84323
explore switchback 24 dual motor trifold bench,24,2752,10750,1728,1798,12364,77,128,99556
explore switchback 24 trifold bench,24,2752,10750,1728,899,4073,77,128,81508
explore switchback 24 s115hp trifold bench,24,2752,10750,1728,0,0,0,0,90054
explore switchback 24 s150hp trifold bench,24,2752,10750,1728,0,0,0,0,91974
explore switchback 26 25x27x25 trifold bench,26,3776,10750,1728,899,4073,77,128,87011
explore switchback 26 dual motor trifold bench,26,3776,10750,1728,899,4073,77,128,102243
explore switchback 26 s115hp trifold bench,26,3776,10750,1728,0,0,0,0,92742
explore switchback 26 s150hp trifold bench,26,3776,10750,1728,0,0,0,0,94662
lx rfx 23,23,2752,10750,1728,899,4073,77,128,99709
lx rfx 23,23,2752,10750,1728,899,4073,77,128,102887
lx rfx 23,23,2752,10750,1728,899,4073,77,128,106065
lx rfx 23 dual motor,23,2752,10750,1728,1798,12364,77,128,109811
lx rfx 23 dual motor,23,2752,10750,1728,1798,12364,77,128,112989
lx rfx 23 dual motor,23,2752,10750,1728,1798,12364,77,128,116167
lx rfx 25,25,3776,10750,1728,899,4073,77,128,104051
lx rfx 25,25,3776,10750,1728,899,4073,77,128,107229
lx rfx 25,25,3776,10750,1728,899,4073,77,128,89907
lx rfx 25 dual motor,25,3776,10750,1728,1798,12364,77,128,114145
lx rfx 25 dual motor,25,3776,10750,1728,1798,12364,77,128,117323
lx rfx 25 dual motor,25,3776,10750,1728,1798,12364,77,128,120501
lx rfx 27,27,6400,10750,1728,899,4073,77,128,108378
lx rfx 27,27,6400,10750,1728,899,4073,77,128,111556
lx rfx 27,27,6400,10750,1728,899,4073,77,128,114734
lx rfx 27 dual motor,27,6400,10750,1728,1798,12364,77,128,118488
lx rfx 27 dual motor,27,6400,10750,1728,1798,12364,77,128,121666
lx rfx 27 dual motor,27,6400,10750,1728,1798,12364,77,128,124844
lx rfxw 23,23,2752,10750,1728,899,4073,77,128,112909
lx rfxw 23,23,2752,10750,1728,899,4073,77,128,116087
lx rfxw 23,23,2752,10750,1728,899,4073,77,128,119265
lx rfxw 23 dual motor,23,2752,10750,1728,1798,12364,77,128,123003
lx rfxw 23 dual motor,23,2752,10750,1728,1798,12364,77,128,126181
lx rfxw 23 dual motor,23,2752,10750,1728,1798,12364,77,128,129359
lx rfxw 25,25,3776,10750,1728,899,4073,77,128,117243
lx rfxw 25,25,3776,10750,1728,899,4073,77,128,120421
lx rfxw 25,25,3776,10750,1728,899,4073,77,128,123599
lx rfxw 25 dual motor,25,3776,10750,1728,1798,12364,77,128,127345
lx rfxw 25 dual motor,25,3776,10750,1728,1798,12364,77,128,130523
lx rfxw 25 dual motor,25,3776,10750,1728,1798,12364,77,128,133701
lx rfxw 27,27,6400,10750,1728,899,4073,77,128,121570
lx rfxw 27,27,6400,10750,1728,899,4073,77,128,124748
lx rfxw 27,27,6400,10750,1728,899,4073,77,128,127926
lx rfxw 27 dual motor,27,6400,10750,1728,1798,12364,77,128,131680
lx rfxw 27 dual motor,27,6400,10750,1728,1798,12364,77,128,134858
lx rfxw 27 dual motor,27,6400,10750,1728,1798,12364,77,128,138036
lx srs 23,23,2752,10750,1728,899,4073,77,128,104051
lx srs 23,23,2752,10750,1728,899,4073,77,128,107229
lx srs 23,23,2752,10750,1728,899,4073,77,128,110407
lx srs 23 dual motor,23,2752,10750,1728,1798,12364,77,128,114145
lx srs 23 dual motor,23,2752,10750,1728,1798,12364,77,128,117323
lx srs 23 dual motor,23,2752,10750,1728,1798,12364,77,128,120501
lx srs 25,25,3776,10750,1728,899,4073,77,128,108378
lx srs 25,25,3776,10750,1728,899,4073,77,128,111556
lx srs 25,25,3776,10750,1728,899,4073,77,128,114734
lx srs 25 dual motor,25,3776,10750,1728,1798,12364,77,128,118488
lx srs 25 dual motor,25,3776,10750,1728,1798,12364,77,128,121666
lx srs 25 dual motor,25,3776,10750,1728,1798,12364,77,128,124844
lx srs 27,27,6400,10750,1728,899,4073,77,128,112531
lx srs 27,27,6400,10750,1728,899,4073,77,128,115709
lx srs 27,27,6400,10750,1728,899,4073,77,128,118887
lx srs 27 dual motor,27,6400,10750,1728,1798,12364,77,128,122633
lx srs 27 dual motor,27,6400,10750,1728,1798,12364,77,128,125811
lx srs 27 dual motor,27,6400,10750,1728,1798,12364,77,128,128989
lx srw 23,23,2752,10750,1728,899,4073,77,128,117243
lx srw 23,23,2752,10750,1728,899,4073,77,128,120421
lx srw 23,23,2752,10750,1728,899,4073,77,128,123599
lx srw 23 dual motor,23,2752,10750,1728,1798,12364,77,128,127345
lx srw 23 dual motor,23,2752,10750,1728,1798,12364,77,128,130523
lx srw 23 dual motor,23,2752,10750,1728,1798,12364,77,128,133701
lx srw 25,25,3776,10750,1728,899,4073,77,128,121570
lx srw 25,25,3776,10750,1728,899,4073,77,128,124748
lx srw 25,25,3776,10750,1728,899,4073,77,128,127926
lx srw 25 dual motor,25,3776,10750,1728,1798,12364,77,128,131680
lx srw 25 dual motor,25,3776,10750,1728,1798,12364,77,128,134858
lx srw 25 dual motor,25,3776,10750,1728,1798,12364,77,128,138036
lx srw 27,27,6400,10750,1728,899,4073,77,128,125731
lx srw 27,27,6400,10750,1728,899,4073,77,128,128909
lx srw 27,27,6400,10750,1728,899,4073,77,128,132087
lx srw 27 dual motor,27,6400,10750,1728,1798,12364,77,128,133825
lx srw 27 dual motor,27,6400,10750,1728,1798,12364,77,128,137003
lx srw 27 dual motor,27,6400,10750,1728,1798,12364,77,128,140181
xt rfx 23,23,2752,10750,1728,899,4073,77,128,138051
xt rfx 23,23,2752,10750,1728,899,4073,77,128,155709
xt rfx 23 dual motor,23,2752,10750,1728,1798,12364,77,128,148160
xt rfx 23 dual motor,23,2752,10750,1728,1798,12364,77,128,165818
xt rfx 25,25,3776,10750,1728,899,4073,77,128,142582
xt rfx 25,25,3776,10750,1728,899,4073,77,128,160240
xt rfx 25 dual motor,25,3776,10750,1728,1798,12364,77,128,152676
xt rfx 25 dual motor,25,3776,10750,1728,1798,12364,77,128,170334
xt rfx 27,27,6400,10750,1728,899,4073,77,128,148989
xt rfx 27,27,6400,10750,1728,899,4073,77,128,166647
xt rfx 27 dual motor,27,6400,10750,1728,1798,12364,77,128,159091
xt rfx 27 dual motor,27,6400,10750,1728,1798,12364,77,128,176749
xt rfxw 23,23,2752,10750,1728,899,4073,77,128,156189
xt rfxw 23,23,2752,10750,1728,899,4073,77,128,173847
xt rfxw 23 dual motor,23,2752,10750,1728,1798,12364,77,128,166291
xt rfxw 23 dual motor,23,2752,10750,1728,1798,12364,77,128,183949
xt rfxw 25,25,3776,10750,1728,899,4073,77,128,161339
xt rfxw 25,25,3776,10750,1728,899,4073,77,128,178997
xt rfxw 25 dual motor,25,3776,10750,1728,1798,12364,77,128,171440
xt rfxw 25 dual motor,25,3776,10750,1728,1798,12364,77,128,189098
xt rfxw 27,27,6400,10750,1728,899,4073,77,128,168633
xt rfxw 27,27,6400,10750,1728,899,4073,77,128,186291
xt rfxw 27 dual motor,27,6400,10750,1728,1798,12364,77,128,178727
xt rfxw 27 dual motor,27,6400,10750,1728,1798,12364,77,128,196385
xt srs 23,23,2752,10750,1728,899,4073,77,128,142385
xt srs 23,23,2752,10750,1728,899,4073,77,128,160043
xt srs 23 dual motor,23,2752,10750,1728,1798,12364,77,128,152494
xt srs 23 dual motor,23,2752,10750,1728,1798,12364,77,128,170152
xt srs 25,25,3776,10750,1728,899,4073,77,128,146909
xt srs 25,25,3776,10750,1728,899,4073,77,128,164567
xt srs 25 dual motor,25,3776,10750,1728,1798,12364,77,128,157018
xt srs 25 dual motor,25,3776,10750,1728,1798,12364,77,128,174676
xt srs 27,27,6400,10750,1728,899,4073,77,128,153324
xt srs 27,27,6400,10750,1728,899,4073,77,128,170982
xt srs 27 dual motor,27,6400,10750,1728,1798,12364,77,128,163433
xt srs 27 dual motor,27,6400,10750,1728,1798,12364,77,128,181091
xt srw 23,23,2752,10750,1728,899,4073,77,128,161127
xt srw 23,23,2752,10750,1728,899,4073,77,128,178785
xt srw 23 dual motor,23,2752,10750,1728,1798,12364,77,128,171230
xt srw 23 dual motor,23,2752,10750,1728,1798,12364,77,128,188888
xt srw 25,25,3776,10750,1728,899,4073,77,128,166276
xt srw 25,25,3776,10750,1728,899,4073,77,128,183934
xt srw 25 dual motor,25,3776,10750,1728,1798,12364,77,128,176370
xt srw 25 dual motor,25,3776,10750,1728,1798,12364,77,128,194028
xt srw 27,27,6400,10750,1728,899,4073,77,128,173570
xt srw 27,27,6400,10750,1728,899,4073,77,128,191228
xt srw 27 dual motor,27,6400,10750,1728,1798,12364,77,128,183666
xt srw 27 dual motor,27,6400,10750,1728,1798,12364,77,128,201324